ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBMAS,POBFEM,P_0A2,P_0A2_M,P_0A2_F,P_3YMAS,P_3YMAS_M,P_3YMAS_F,P_5YMAS,P_5YMAS_M,P_5YMAS_F,P_12YMAS,P_12YMAS_M,P_12YMAS_F,P_15YMAS,P_15YMAS_M,P_15YMAS_F,P_18YMAS,P_18YMAS_M,P_18YMAS_F,P_3A5,P_3A5_M,P_3A5_F,P_6A11,P_6A11_M,P_6A11_F,P_8A14,P_8A14_M,P_8A14_F,P_12A14,P_12A14_M,P_12A14_F,P_15A17,P_15A17_M,P_15A17_F,P_18A24,P_18A24_M,P_18A24_F,P_15A49_F,P_60YMAS,P_60YMAS_M,P_60YMAS_F,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_M,PNACENT_F,PNACOE,PNACOE_M,PNACOE_F,PRES2005,PRES2005_M,PRES2005_F,PRESOE05,PRESOE05_M,PRESOE05_F,P3YM_HLI,P3YM_HLI_M,P3YM_HLI_F,P3HLINHE,P3HLINHE_M,P3HLINHE_F,P3HLI_HE,P3HLI_HE_M,P3HLI_HE_F,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,PCON_LIM,PCLIM_MOT,PCLIM_VIS,PCLIM_LENG,PCLIM_AUD,PCLIM_MOT2,PCLIM_MEN,PCLIM_MEN2,PSIN_LIM,P3A5_NOA,P3A5_NOA_M,P3A5_NOA_F,P6A11_NOA,P6A11_NOAM,P6A11_NOAF,P12A14NOA,P12A14NOAM,P12A14NOAF,P15A17A,P15A17A_M,P15A17A_F,P18A24A,P18A24A_M,P18A24A_F,P8A14AN,P8A14AN_M,P8A14AN_F,P15YM_AN,P15YM_AN_M,P15YM_AN_F,P15YM_SE,P15YM_SE_M,P15YM_SE_F,P15PRI_IN,P15PRI_INM,P15PRI_INF,P15PRI_CO,P15PRI_COM,P15PRI_COF,P15SEC_IN,P15SEC_INM,P15SEC_INF,P15SEC_CO,P15SEC_COM,P15SEC_COF,P18YM_PB,P18YM_PB_M,P18YM_PB_F,GRAPROES,GRAPROES_M,GRAPROES_F,PEA,PEA_M,PEA_F,PE_INAC,PE_INAC_M,PE_INAC_F,POCUPADA,POCUPADA_M,POCUPADA_F,PDESOCUP,PDESOCUP_M,PDESOCUP_F,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PDER_SEGP,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PNCATOLICA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_M,HOGJEF_F,POBHOG,PHOGJEF_M,PHOGJEF_F,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AGUAFV,VPH_EXCSA,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_SNBIEN,VPH_RADIO,VPH_TV,VPH_REFRI,VPH_LAVAD,VPH_AUTOM,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER
15,México,106,Toluca,0001,Total AGEB urbana,0307,000,4550,2103,2447,151,76,75,4217,1937,2280,4100,1882,2218,3665,1661,2004,3468,1566,1902,3259,1451,1808,174,85,89,378,191,187,454,228,226,197,95,102,209,115,94,516,241,275,1269,554,221,333,85.94,900,3105,363,1.81,3512,1618,1894,836,385,451,3950,1810,2140,107,51,56,9,*,7,0,0,0,6,*,4,9,0,6,22,144,63,57,9,7,*,4,13,4206,51,26,25,5,*,4,3,*,*,188,101,87,299,130,169,0,0,0,30,6,24,41,11,30,112,40,72,261,92,169,76,43,33,472,240,232,2339,1061,1278,12.25,12.54,12,2017,1147,870,1642,511,1131,1915,1070,845,102,77,25,1106,3243,1639,239,951,252,1446,1764,449,3969,243,3,118,1217,851,366,4356,3295,1061,1521,1278,1460,1217,1277,152,91,4356,3.58,0.70,1204,4,254,959,5,28,1175,1212,0,1203,11,1212,1213,*,1200,*,1129,1200,1158,972,796,718,884,1004,546
15,México,106,Toluca,0001,Toluca de Lerdo,0307,001,177,84,93,8,4,4,169,80,89,161,75,86,143,67,76,139,64,75,130,59,71,11,6,5,15,7,8,13,7,6,4,3,*,9,5,4,13,6,7,49,36,20,16,90.32,38,119,20,1.87,148,71,77,27,12,15,158,74,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,176,*,*,*,0,0,0,*,*,0,8,4,4,7,*,5,0,0,0,0,0,0,0,0,0,6,4,*,13,6,7,*,*,0,15,10,5,94,40,54,12.26,11.88,12.59,72,40,32,71,27,44,69,37,32,3,3,0,41,136,33,19,72,12,49,73,21,152,12,0,10,45,35,10,177,139,38,50,*,*,*,*,*,*,177,3.93,0.75,44,*,9,36,0,3,42,45,0,45,0,45,45,0,45,0,42,44,43,37,34,31,38,38,24
15,México,106,Toluca,0001,Toluca de Lerdo,0307,002,119,44,75,*,*,*,117,43,74,112,39,73,103,35,68,101,35,66,96,34,62,7,5,*,7,3,4,6,*,4,*,0,*,5,*,4,11,3,8,37,30,10,20,58.67,18,78,23,2.13,106,36,70,13,8,5,110,39,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,*,0,*,0,0,0,3,116,*,*,0,*,0,*,0,0,0,5,*,4,4,*,*,0,0,0,*,0,*,*,0,*,4,0,4,11,3,8,3,0,3,11,7,4,61,23,38,11.53,12.35,11.09,49,20,29,53,15,38,48,20,28,*,0,*,46,70,42,8,21,0,44,47,12,103,13,0,3,36,24,12,119,85,34,38,*,*,*,*,*,*,119,3.31,0.57,36,0,10,26,0,0,36,36,0,36,0,36,36,0,36,0,35,36,35,33,23,16,29,29,12
15,México,106,Toluca,0001,Toluca de Lerdo,0307,003,41,17,24,*,0,*,40,17,23,40,17,23,37,16,21,35,15,20,32,13,19,0,0,0,3,*,*,5,*,3,*,*,*,3,*,*,4,*,3,14,4,*,3,70.83,6,31,4,1.76,34,15,19,7,*,5,40,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,3,*,*,3,*,*,0,0,0,0,0,0,0,0,0,*,*,*,*,0,*,0,0,0,3,0,3,26,12,14,12.37,12.80,12.05,23,12,11,14,4,10,23,12,11,0,0,0,9,32,13,*,15,*,13,23,*,38,0,0,0,12,10,*,41,37,4,18,*,*,*,*,*,*,41,3.42,0.73,12,0,3,9,0,*,11,12,0,12,0,12,12,0,12,0,12,12,12,8,10,9,10,11,7
15,México,106,Toluca,0001,Toluca de Lerdo,0307,004,35,17,18,*,0,*,34,17,17,32,16,16,29,15,14,29,15,14,27,13,14,*,*,*,3,*,*,*,*,0,0,0,0,*,*,0,3,3,0,6,7,3,4,94.44,6,23,6,1.79,24,12,12,11,5,6,32,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,*,*,0,*,*,0,0,0,0,0,0,0,0,0,0,*,0,*,*,*,0,*,*,0,3,*,*,21,11,10,13.55,14.27,12.79,20,9,11,9,6,3,20,9,11,0,0,0,9,26,17,*,8,0,12,8,9,34,0,0,*,11,5,6,35,20,15,11,*,*,*,*,*,*,35,3.18,0.57,11,0,*,10,0,0,11,11,0,11,0,11,11,0,11,0,10,11,11,11,10,8,10,9,6
15,México,106,Toluca,0001,Toluca de Lerdo,0307,005,143,69,74,8,5,3,135,64,71,131,62,69,122,57,65,116,52,64,113,52,61,5,*,3,8,5,3,11,9,*,6,5,*,3,0,3,13,8,5,37,28,9,19,93.24,27,96,20,2.38,125,62,63,18,7,11,129,61,68,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,*,0,136,*,0,*,*,0,*,0,0,0,3,0,3,9,5,4,0,0,0,*,0,*,3,0,3,*,0,*,8,*,6,5,*,3,13,6,7,81,42,39,12.24,13.44,11.27,67,39,28,55,18,37,62,36,26,5,3,*,29,114,39,*,60,13,41,63,18,139,*,0,*,37,25,12,143,104,39,42,*,*,*,*,*,*,143,3.86,0.69,37,0,4,33,0,0,37,37,0,37,0,37,37,0,37,0,34,36,37,33,25,22,29,28,14
15,México,106,Toluca,0001,Toluca de Lerdo,0307,006,398,186,212,17,3,14,381,183,198,375,179,196,343,163,180,324,155,169,297,137,160,10,7,3,28,13,15,38,16,22,19,8,11,27,18,9,51,24,27,123,25,8,17,87.74,74,307,17,1.78,264,122,142,131,62,69,336,158,178,32,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,*,0,*,0,0,*,389,*,*,0,0,0,0,*,*,0,27,18,9,30,12,18,0,0,0,6,3,3,6,3,3,5,*,3,13,*,12,7,6,*,34,18,16,239,114,125,12.76,13.01,12.53,196,114,82,145,48,97,189,108,81,7,6,*,79,319,198,23,73,15,140,164,39,354,30,0,14,115,81,34,398,299,99,153,*,*,*,*,*,*,398,3.46,0.69,114,0,19,96,*,0,113,115,0,114,*,115,115,0,114,0,106,112,115,99,97,81,86,101,70
15,México,106,Toluca,0001,Toluca de Lerdo,0307,007,71,30,41,6,5,*,65,25,40,64,24,40,55,21,34,53,21,32,48,19,29,3,*,*,7,3,4,5,*,4,*,0,*,5,*,3,14,6,8,21,8,*,6,73.17,18,47,6,1.47,55,23,32,16,7,9,62,23,39,*,*,*,*,0,*,0,0,0,0,0,0,*,0,0,4,*,*,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,5,*,3,9,3,6,0,0,0,0,0,0,0,0,0,*,*,0,*,0,*,3,*,*,5,*,3,39,16,23,13.08,13.05,13.09,25,13,12,30,8,22,24,12,12,*,*,0,9,61,29,3,9,17,20,24,11,70,0,0,*,23,14,9,71,46,25,25,*,*,*,*,*,*,71,3.09,0.58,23,0,7,16,*,0,22,23,0,23,0,23,23,0,23,0,21,23,22,16,13,14,13,20,11
15,México,106,Toluca,0001,Toluca de Lerdo,0307,008,97,45,52,*,*,0,87,40,47,86,40,46,79,36,43,76,35,41,73,34,39,*,0,*,6,4,*,7,4,3,3,*,*,3,*,*,8,6,*,21,18,6,12,86.54,12,63,13,2.12,75,33,42,12,8,4,82,38,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,3,*,*,7,6,*,0,0,0,0,0,0,0,0,0,4,*,3,6,0,6,3,*,*,4,3,*,56,29,27,12.84,13.74,12.07,40,23,17,39,13,26,37,21,16,3,*,*,18,69,33,10,25,3,32,37,10,73,5,0,10,28,20,8,88,65,23,35,*,*,*,*,*,*,88,3.14,0.56,28,0,8,20,0,0,28,28,0,28,0,28,28,0,28,0,26,27,27,24,18,15,20,21,15
15,México,106,Toluca,0001,Toluca de Lerdo,0307,009,26,12,14,0,0,0,23,10,13,23,10,13,20,8,12,18,8,10,17,7,10,0,0,0,3,*,*,5,*,3,*,0,*,*,*,0,0,0,0,4,4,*,*,85.71,5,16,*,1.50,18,7,11,5,3,*,23,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,*,*,*,15,7,8,14.06,14.88,13.40,12,6,6,8,*,6,10,5,5,*,*,*,6,17,*,*,9,0,7,12,*,23,0,0,0,8,6,*,23,20,3,11,*,*,*,*,*,*,23,2.88,0.50,8,0,3,5,0,0,8,8,0,8,0,8,8,0,8,0,8,8,8,8,8,7,7,8,4
