cve_ageb,ninos_por_ageb
0241,50
0294,59
0307,40
0330,42
0345,33
035A,48
0379,52
0383,19
0398,26
0400,26
0415,21
042A,30
0434,31
0449,38
0453,15
0468,27
0472,8
0487,30
0491,28
0504,36
0519,14
0523,33
0538,19
0542,20
0557,34
0561,50
0576,30
0580,15
0595,13
0608,26
0631,23
0646,55
0699,42
0701,56
0754,57
0769,14
0773,13
0788,45
0824,9
0858,49
0862,88
0896,74
0909,43
0913,38
1023,29
1038,6
1061,39
1184,59
1254,30
1485,30
149A,22
1502,73
1517,57
1521,33
1555,27
156A,41
1574,11
1589,21
1593,2
1606,18
1610,2
1625,10
163A,2
1659,23
1663,9
1678,11
1682,54
1697,13
170A,23
1729,50
1733,45
1748,34
1752,37
1767,48
1771,54
1786,31
1790,42
1803,83
1818,65
1837,54
1841,76
1856,57
1860,47
188A,48
1894,52
1907,64
1911,50
1926,29
1930,32
1945,29
195A,29
1979,37
1983,60
1998,48
2017,38
2021,30
2036,25
2040,35
2055,44
206A,23
2074,41
2089,33
2106,33
2110,22
2125,11
213A,16
2144,27
2159,16
2178,95
2182,60
2197,51
220A,42
2214,30
2248,23
2252,6
2267,10
2271,43
2286,18
2290,8
2303,9
2318,9
2322,32
2337,14
2341,16
2356,3
2360,12
2375,1
238A,2
2394,1
2407,11
2426,12
2430,11
2445,21
245A,18
2464,18
2479,43
2483,48
2500,33
2515,31
252A,29
2549,33
2553,5
2572,42
2587,58
2604,11
2619,14
2623,43
2638,30
2642,17
2657,5
2661,2
2676,14
2680,15
2695,28
2708,3
2712,68
2727,61
2731,21
2746,36
2750,3
2765,7
277A,25
2799,15
2801,4
2816,11
2820,3
2835,26
284A,2
2854,28
2869,1
2873,18
2888,37
2892,4
2905,16
2943,1
2958,0
2962,3
2977,15
2981,19
2996,0
3000,1
3015,2
302A,2
3034,1
3049,12
3053,36
3068,67
3072,35
3087,40
3091,25
3104,38
3119,32
3123,17
3138,19
3142,41
3157,48
3161,14
3176,38
3180,51
3195,24
3208,31
3212,19
3227,20
3231,32
3246,18
3250,17
3265,9
327A,65
3284,41
3299,19
3301,52
3316,20
3320,28
3335,27
334A,26
3354,36
3369,31
3373,29
3388,25
3392,3
3405,6
341A,6
3424,2
3458,4
3462,0
3477,2
3481,8
3496,36
3513,7
3532,5
3547,7
3551,17
3566,16
3570,11
3585,11
359A,5
3602,2
3617,2
3621,4
3636,5
3655,38
366A,1
3674,2
3689,14
3693,2
3706,7
3710,25
3725,14
373A,14
3744,27
3763,5
3778,26
