ageb,poblacion_ageb,porcentaje_de_la_poblacion_ageb
0241,5692,0.007505571159196698
0294,6636,0.008750346137109854
0307,4550,0.005999709904136503
0330,4763,0.006280575444703773
0345,3724,0.0049105317984624915
035A,5489,0.007237891794242916
0379,5844,0.007706001028521698
0383,2151,0.002836346374461015
0398,2968,0.003913656922082888
0400,2942,0.0038793728654878228
0415,2382,0.0031409470311325608
042A,3354,0.00442264330076348
0434,3569,0.0047061460764534465
0449,4283,0.005647639015256405
0453,1691,0.0022297822962406215
0468,3108,0.004098263380671704
0472,936,0.0012342260374223664
0487,3430,0.004522858235425979
0491,3208,0.004230125136806572
0504,4131,0.005447209145931406
0519,1583,0.0020873715996149638
0523,3733,0.00492239935651463
0538,2136,0.002816567111040785
0542,2297,0.0030288645384179227
0557,3830,0.0050503052599654525
0561,5632,0.007426454105515777
0576,3412,0.004499123119321703
0580,1724,0.002273296675765128
0595,1528,0.002014847633740786
0608,2937,0.003872779777681079
0631,2657,0.003503566860503448
0646,6218,0.008199163996466105
0699,4752,0.006266070651528937
0701,6303,0.008311246489180742
0754,6414,0.008457613038490446
0769,1570,0.0020702295713174307
0773,1505,0.0019845194298297665
0788,5141,0.006779012882893574
0824,976,0.0012869707398763138
0858,5592,0.0073737094030618296
0862,9962,0.013136068146155571
0896,8378,0.011047377928979259
0909,4868,0.0064190302886453846
0913,4256,0.005612036341099991
1023,3287,0.004334295924153118
1038,638,8.412780041404591e-4
1061,4439,0.0058533433548267995
1184,6743,0.008891438216174163
1254,3401,0.0044846183261468674
1485,3375,0.004450334269551802
149A,2503,0.003300499756055751
1502,8272,0.010907604467476299
1517,6460,0.008518269446312485
1521,3794,0.0050028350277569
1555,3050,0.00402178356211348
156A,4690,0.006184316362725319
1574,1259,0.0016601395097379907
1589,2365,0.003118530532589633
1593,223,2.940517161807561e-4
1606,2002,0.0026398723578200615
1610,246,3.243799200917758e-4
1625,1112,0.0014663027282197344
163A,213,2.8086554056726927e-4
1659,2566,0.003383572662420718
1663,1029,0.0013568574706277938
1678,1208,0.001592890014109208
1682,6116,0.008064665005208539
1697,1442,0.0019014465234647995
170A,2636,0.003475875891715126
1729,5667,0.0074726057201629816
1733,5122,0.00675395914922795
1748,3825,0.005043712172158709
1752,4250,0.005604124635731899
1767,5479,0.007224705618629429
1771,6165,0.008129277265714625
1786,3473,0.004579558790563973
1790,4773,0.0062937616203172595
1803,9359,0.012340941756662316
1818,7358,0.009702388016403602
1837,6145,0.008102904914487652
1841,8604,0.01134538549784406
1856,6419,0.00846420612629719
1860,5317,0.007011089573690943
188A,5495,0.007245803499611007
1894,5949,0.00784445587246331
1907,7252,0.009562614554900642
1911,5704,0.007521394569932882
1926,3235,0.004265727810962986
1930,3616,0.004768121101836834
1945,3268,0.0043092421904874926
195A,3319,0.0043764916861162755
1979,4227,0.005573796431820879
1983,6837,0.009015388266940939
1998,5497,0.007248440734733705
2017,4280,0.005643683162572359
2021,3391,0.004471432150533381
2036,2847,0.0037541041971596977
2040,3929,0.005180848398538972
2055,5038,0.00664319527407466
206A,2655,0.003500929625380751
2074,4704,0.006202777008584201
2089,3726,0.0049131690335851895
2106,3699,0.004877566359428775
2110,2480,0.0032701715521447315
2125,1227,0.0016179437477748329
213A,1802,0.002376148845550325
2144,3043,0.004012553239184039
2159,1773,0.0023379089362712134
2178,10830,0.014280628189406227
2182,6798,0.00896396218204834
2197,5829,0.0076862217651014674
220A,4739,0.006248928623231404
2214,3348,0.004414731595395387
2248,2585,0.003408626396086343
2252,640,8.439152392631565e-4
2267,1104,0.001455753787728945
2271,4843,0.006386064849611667
2286,2045,0.0026965729129580546
2290,853,0.0011247807798304258
2303,1041,0.001372680881363978
2318,996,0.0013133430911032873
2322,3598,0.004744385985732558
2337,1538,0.002028033809354273
2341,1868,0.002463177604599338
2356,333,4.390996479291111e-4
2360,1350,0.0017801337078207208
2375,159,2.0966019225444044e-4
238A,198,2.6108627714703904e-4
2394,135,1.7801337078207207e-4
2407,1246,0.0016429974814404578
2426,1342,0.0017695847673299312
2430,1249,0.001646953334124504
2445,2357,0.0031079815920988436
245A,1985,0.0026174558592771337
2464,2010,0.002650421298310851
2479,4897,0.0064572701979244956
2483,5471,0.007214156678138639
2500,3732,0.004921080738953282
2515,3563,0.004698234371085354
252A,3242,0.004274958133892427
2549,3757,0.0049540461779869985
2553,541,7.13372100689637e-4
2572,4767,0.006285849914949167
2587,6628,0.008739797196619065
2604,1304,0.0017194772999986814
2619,1593,0.0021005577752284503
2623,4880,0.006434853699381568
2638,3371,0.004445059799306407
2642,1973,0.0026016324485409496
2657,548,7.226024236190778e-4
2661,211,2.782283054445719e-4
2676,1539,0.0020293524269156217
2680,1710,0.0022548360299062464
2695,3210,0.00423276237192927
2708,375,4.944815855057558e-4
2712,7764,0.010237746746311168
2727,6912,0.009114284584042091
2731,2375,0.00313171670820312
2746,4027,0.005310072919551143
2750,298,3.9294803328190724e-4
2765,832,0.0010970898110421034
277A,2853,0.00376201590252779
2799,1676,0.0022100030328203913
2801,413,5.445890528370057e-4
2816,1301,0.0017155214473146354
2820,353,4.6547199915608476e-4
2835,2947,0.003885965953294566
284A,245,3.230613025304271e-4
2854,3218,0.004243311312420059
2869,170,2.2416498542927594e-4
2873,2097,0.002765141026148186
2888,4234,0.00558302675475032
2892,464,6.118385484657885e-4
2905,1808,0.002384060550918417
2943,57,7.516120099687487e-5
2958,39,5.14260848925986e-5
2962,318,4.193203845088809e-4
2977,1718,0.002265384970397036
2981,2209,0.0029128261930192385
2996,9,1.1867558052138139e-5
3000,77,1.0153355222384852e-4
3015,188,2.4790010153355224e-4
302A,259,3.4152194838930867e-4
3034,88,1.1603834539868402e-4
3049,1343,0.00177090338489128
3053,4121,0.005434022970317919
3068,7623,0.010051821670161004
3072,3966,0.005229637248308873
3087,4496,0.005928504555823675
3091,2781,0.0036670754381106846
3104,4296,0.005664781043553938
3119,3650,0.00481295409892269
3123,1935,0.0025515249812096998
3138,2196,0.002895684164721706
3142,4651,0.006132890277832721
3157,5463,0.00720360773764785
3161,1610,0.002122974273771378
3176,4332,0.005712251275762491
3180,5803,0.007651937708506402
3195,2752,0.003628835528831573
3208,3526,0.004649445521315453
3212,2169,0.0028600814905652915
3227,2277,0.003002492187190949
3231,3601,0.004748341838416604
3246,2080,0.0027427245276052587
3250,1916,0.002526471247544075
3265,1029,0.0013568574706277938
327A,7363,0.009708981104210345
3284,4619,0.006090694515869562
3299,2145,0.002828434669092923
3301,5880,0.00775347126073025
3316,2293,0.003023590068172528
3320,3196,0.004214301726070388
3335,3108,0.004098263380671704
334A,2962,0.0039057452167147962
3354,4033,0.005317984624919235
3369,3558,0.0046916412832786105
3373,3250,0.004285507074383217
3388,2829,0.0037303690810554214
3392,306,4.034969737726967e-4
3405,627,8.267732109656236e-4
341A,641,8.452338568245051e-4
3424,281,3.7053153473897967e-4
3458,479,6.316178118860187e-4
3462,33,4.3514379524506505e-5
3477,279,3.6789429961628226e-4
3481,949,0.0012513680657198992
3496,4075,0.005373366562495879
3513,783,0.001032477550536018
3532,618,8.149056529134855e-4
3547,770,0.0010153355222384851
3551,1891,0.0024935058085103576
3566,1835,0.0024196632250748315
3570,1191,0.0015704735155662804
3585,1240,0.0016350857760723658
359A,541,7.13372100689637e-4
3602,235,3.0987512691694027e-4
3617,255,3.362474781439139e-4
3621,489,6.448039874995056e-4
3636,610,8.04356712422696e-4
3655,4318,0.005693790629903609
366A,110,1.4504793174835502e-4
3674,224,2.953703337421048e-4
3689,1617,0.002132204596700819
3693,171,2.2548360299062462e-4
3706,824,0.001086540870551314
3710,2789,0.0036776243786014744
3725,1598,0.002107150863035194
373A,1537,0.002026715191792924
3744,3093,0.0040784841172514736
3763,589,7.766657436343738e-4
3778,2967,0.0039123383045215395
