Clave entidad,Clave municipio,Clave localidad,Nombre de la localidad,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
15,106,0001,Toluca de Lerdo,"502,011","507,616","512,414","516,789","520,789","524,431","527,726","530,688","533,311","535,591","537,532","539,140","540,416","541,362","541,976","542,260","542,216","541,853","541,173","540,176","538,859"
15,106,0043,Cacalomacán,"12,312","12,462","12,592","12,712","12,823","12,926","13,020","13,106","13,184","13,253","13,314","13,368","13,413","13,449","13,478","13,498","13,511","13,515","13,511","13,500","13,480"
15,106,0044,Calixtlahuaca,"9,226","9,373","9,507","9,634","9,755","9,870","9,979","10,083","10,181","10,273","10,359","10,440","10,514","10,583","10,645","10,701","10,751","10,795","10,833","10,865","10,890"
15,106,0049,Colonia Arroyo Vista Hermosa,"3,291","3,464","3,640","3,821","4,009","4,202","4,402","4,608","4,820","5,039","5,264","5,496","5,735","5,980","6,232","6,491","6,756","7,028","7,306","7,592","7,883"
15,106,0050,El Cerrillo Vista Hermosa,"8,924","9,394","9,871","10,363","10,870","11,395","11,936","12,494","13,070","13,664","14,275","14,904","15,551","16,216","16,899","17,600","18,320","19,057","19,813","20,586","21,377"
15,106,0051,La Constitución Toltepec,"6,568","6,913","7,264","7,626","8,000","8,386","8,784","9,195","9,619","10,056","10,505","10,968","11,445","11,934","12,437","12,953","13,482","14,025","14,581","15,150","15,732"
15,106,0055,Jicaltepec Cuexcontitlán,"4,430","4,626","4,822","5,021","5,225","5,434","5,646","5,863","6,085","6,310","6,540","6,773","7,011","7,252","7,497","7,746","7,998","8,254","8,512","8,774","9,038"
15,106,0059,Palmillas,"1,761","1,854","1,948","2,045","2,146","2,249","2,356","2,466","2,580","2,697","2,818","2,942","3,069","3,201","3,336","3,474","3,616","3,761","3,911","4,063","4,219"
15,106,0062,San Andrés Cuexcontitlán,"18,471","19,279","20,088","20,912","21,753","22,611","23,485","24,378","25,287","26,213","27,156","28,114","29,088","30,078","31,082","32,099","33,131","34,175","35,231","36,299","37,377"
15,106,0063,San Antonio Buenavista,"6,091","6,278","6,460","6,641","6,821","7,002","7,182","7,361","7,541","7,719","7,897","8,073","8,249","8,423","8,595","8,766","8,935","9,101","9,265","9,427","9,585"
15,106,0065,San Cayetano Morelos,"4,554","4,675","4,792","4,906","5,020","5,132","5,243","5,353","5,462","5,569","5,675","5,779","5,881","5,981","6,080","6,176","6,270","6,361","6,450","6,537","6,621"
15,106,0068,San Diego de los Padres Cuexcontitlán,"8,579","9,030","9,488","9,961","10,449","10,953","11,473","12,010","12,564","13,134","13,722","14,326","14,948","15,588","16,245","16,919","17,610","18,319","19,045","19,788","20,549"
15,106,0069,San Diego Linares,"2,989","3,147","3,306","3,471","3,641","3,817","3,998","4,185","4,378","4,577","4,782","4,992","5,209","5,432","5,661","5,896","6,137","6,384","6,637","6,896","7,161"
15,106,0070,San Felipe Tlalmimilolpan,"9,758","10,097","10,430","10,764","11,100","11,438","11,778","12,120","12,464","12,809","13,154","13,501","13,848","14,196","14,543","14,889","15,235","15,579","15,922","16,263","16,601"
15,106,0072,San José Guadalupe Otzacatipan,"32,110","32,483","32,806","33,101","33,373","33,622","33,848","34,054","34,238","34,401","34,541","34,661","34,759","34,836","34,891","34,926","34,939","34,932","34,904","34,856","34,787"
15,106,0073,San Juan Tilapa,"8,638","8,563","8,474","8,378","8,277","8,171","8,060","7,946","7,828","7,707","7,583","7,456","7,327","7,195","7,062","6,926","6,790","6,651","6,512","6,373","6,232"
15,106,0077,San Marcos Yachihuacaltepec,"6,070","6,249","6,421","6,592","6,763","6,933","7,102","7,270","7,438","7,604","7,769","7,933","8,094","8,254","8,413","8,568","8,722","8,873","9,021","9,167","9,309"
15,106,0078,San Martín Toltepec,"2,824","2,973","3,124","3,279","3,440","3,606","3,777","3,954","4,136","4,324","4,518","4,717","4,921","5,132","5,348","5,570","5,798","6,031","6,270","6,515","6,765"
15,106,0079,San Mateo Otzacatipan,"23,243","24,158","25,067","25,987","26,918","27,863","28,821","29,791","30,774","31,768","32,772","33,788","34,813","35,847","36,889","37,938","38,993","40,055","41,121","42,190","43,262"
15,106,0082,San Nicolás Tolentino,"6,974","7,111","7,238","7,362","7,481","7,596","7,708","7,816","7,921","8,021","8,118","8,210","8,299","8,383","8,463","8,538","8,609","8,675","8,737","8,794","8,846"
15,106,0083,San Pablo Autopan,"36,051","37,156","38,230","39,300","40,367","41,433","42,497","43,559","44,618","45,672","46,721","47,763","48,799","49,826","50,844","51,851","52,846","53,828","54,797","55,750","56,686"
15,106,0084,San Pedro Totoltepec,"21,622","22,109","22,568","23,016","23,454","23,883","24,303","24,713","25,114","25,504","25,884","26,253","26,610","26,956","27,289","27,609","27,917","28,211","28,492","28,758","29,010"
15,106,0088,Santa Cruz Otzacatipan,"5,285","5,520","5,754","5,994","6,238","6,488","6,742","7,003","7,268","7,538","7,813","8,094","8,379","8,668","8,963","9,261","9,564","9,871","10,182","10,496","10,814"
15,106,0095,Tecaxic,"3,259","3,288","3,311","3,331","3,348","3,363","3,376","3,387","3,395","3,402","3,406","3,407","3,407","3,405","3,400","3,394","3,385","3,375","3,362","3,348","3,331"
15,106,0097,Santiago Tlacotepec,"16,264","16,814","17,354","17,895","18,438","18,984","19,532","20,082","20,635","21,188","21,742","22,296","22,851","23,404","23,957","24,507","25,055","25,600","26,142","26,680","27,212"
15,106,0098,Tlachaloya Primera Sección,"3,655","3,684","3,707","3,727","3,744","3,758","3,770","3,779","3,786","3,790","3,792","3,791","3,788","3,783","3,775","3,765","3,753","3,738","3,722","3,703","3,682"
15,106,0099,Tlachaloya Segunda Sección,"5,980","6,181","6,379","6,576","6,774","6,974","7,174","7,374","7,576","7,777","7,979","8,181","8,383","8,584","8,785","8,985","9,185","9,383","9,579","9,774","9,968"
15,106,0104,Barrio del Cajón,"1,274","1,341","1,409","1,480","1,552","1,627","1,704","1,784","1,866","1,951","2,038","2,128","2,220","2,315","2,413","2,513","2,616","2,721","2,829","2,939","3,052"
15,106,0106,La Palma Toltepec,"2,469","2,562","2,653","2,745","2,838","2,932","3,027","3,123","3,220","3,318","3,416","3,515","3,615","3,716","3,816","3,917","4,019","4,120","4,222","4,324","4,425"
15,106,0112,San Miguel Totoltepec,"5,613","5,830","6,045","6,263","6,483","6,706","6,932","7,161","7,392","7,626","7,862","8,100","8,341","8,583","8,826","9,071","9,318","9,565","9,813","10,062","10,310"
15,106,0113,Colonia el Refugio,"1,836","1,933","2,031","2,132","2,237","2,345","2,456","2,571","2,689","2,812","2,937","3,067","3,200","3,337","3,477","3,622","3,770","3,921","4,077","4,236","4,399"
